날짜,제목,조회,공감,비공감
2023.05.01 23:00,다올,13,0,0
2023.05.01 21:59,■ 5월은 동전주,74,0,0
2023.05.01 20:55,우리회사 많이 사랑해주세요 ㅎ,174,3,1
2023.05.01 20:45,삼화전자 페라이트 엘론 머스크 전기차 ,94,1,2
2023.05.01 20:43,기대된다.,151,2,3
2023.05.01 20:27,자알한다. 기관까지 달라붙어서..주가 조작이 일반화,228,3,1
2023.05.01 20:06,낼  장시작 하자마자 상,230,3,3
2023.05.01 16:39,이브이첨단소재,571,6,3
2023.05.01 16:18,그냥 지켜보자.,362,3,1
2023.05.01 15:47,빚 청산,214,0,3
2023.05.01 14:27,SG증권발 셀럽 주식,281,0,4
2023.05.01 14:18,주가조작단,380,2,2
2023.05.01 13:56,이기 나라가..주가조작범들이 버젓이,606,13,1
2023.05.01 13:01,이거 왜 거래 안되나요?,872,9,2
2023.05.01 12:06,낼 상치냐,889,9,7
2023.05.01 11:52,적폐청산,526,4,1
2023.05.01 11:48,다올투자증권,623,6,3
2023.05.01 11:40,다올,741,1,3
2023.05.01 11:16,화요일 급반등 일수위는 지배구조의 ?에 역이지않은 두회사만이 살아남을것,748,5,4
2023.05.01 11:12,대세상승이라고 들어봤소?,526,6,3
2023.05.01 15:32,kimw**님 상폐시 환수액 9000원 어떻게 구하는 것이지요,55,0,0
2023.05.01 10:52,단타치러 들어갈낀데,500,2,2
2023.05.01 10:41,조용히 가자,505,2,2
2023.05.01 10:11,일부..투자금융...증권들,671,5,6
2023.05.01 10:07,깨꼴락지는 되지말자 (매수 주가를 결정하는 방법),607,3,4
2023.05.01 09:46,수요일,597,0,7
2023.05.01 09:53,수요일,189,0,3
2023.05.01 10:14,수요일,106,1,3
2023.05.01 08:39,"bps가 9,537원이다.",925,11,4
2023.05.01 08:32,임창정 아무 잘못없어,736,3,10
2023.05.01 07:56,금융감독원 개소리,495,2,2
2023.05.01 00:00,다올투진증권은 상폐 시켜야할 종목,1449,4,12
2023.04.30 21:40,이번 주가 조작 관련 내용입니다~ 다들 확인하시고 투자하세요!,531,1,5
2023.04.30 18:58,5년간 나라를 개창을내노코 퇴임한 양산책방문사장 ㅡ무리하게 임대차법개정으로,616,10,18
2023.04.30 16:36,두 세배 오른 종목 많던데,641,1,4
2023.04.30 16:33,이넘은 가파르게 올랐나요?,776,3,3
2023.04.30 15:20,여기는 오래가져 갈만함,579,4,5
2023.04.30 13:40,다올이 다른 종목들과 다른 점,1264,23,8
2023.04.30 11:47,금융감독원 개소리,467,8,2
2023.04.30 10:03,다올투자증권 미래챠트,531,1,7
2023.04.30 09:47,임창정관련주,500,2,4
2023.04.30 08:35,주가조작 ,1085,21,18
2023.04.30 10:48,역시나 짱꿔이 후손 답다 (할 말은 많치만 간략히 쓴다),262,11,4
2023.04.30 11:49,역시나 짱꿔이 후손 답다 (할 말은 많치만 간략히 쓴다),174,6,9
2023.05.01 09:59,역시나 짱꿔이 후손 답다 (할 말은 많치만 간략히 쓴다),39,0,0
2023.04.30 12:42,[삭제된 게시물의 답글]느검마 개ssib,142,11,7
2023.04.30 22:26,[삭제된 게시물의 답글]느검마 개ssib,83,3,1
2023.04.30 08:21,ㅉㅉ 개미들 ,650,10,6
2023.04.30 04:19,크게 한번가자,580,8,5
2023.04.30 03:52,분식회계가 아니라면 무조건 먹는 게임,547,8,3
2023.04.30 03:00,단타,553,3,7
2023.04.29 22:18,떠들어라,446,7,4
2023.04.29 21:18,1분기 실적에 대한 확신에,925,18,5
2023.04.29 19:23,3년 내 최저가 대비 상승률,889,3,9
2023.04.29 19:23,주범인 투자자문회사 라대표라는 사람은,545,9,3
2023.04.29 16:49,금융감독원 개소리,700,11,1
2023.04.29 15:17,■■■■ 창정이형 계좌를 복구할 바로 그종목 !?!?!?!?,455,1,1
2023.04.29 13:15,이정도면,761,8,4
2023.04.29 12:43,다올이 신용물량은 많이줄었나요?,1039,4,2
2023.04.29 18:17,[0141] 종목별 신용매매동향,237,3,2
2023.04.29 11:21,이거 유튜브 댓글보이,831,4,1
2023.04.29 10:59,문제의 8종목 금요일 11:55 또 동시매도??,735,1,2
2023.04.29 09:30,월요일까지 쉴때,773,11,1
2023.04.29 09:25,금융감독원 개소리,649,6,1
2023.04.29 09:13,이넘이 팔공주 대장인듯 싶은데,695,6,5
2023.04.29 08:08,주식의 정의,564,2,1
2023.04.29 07:33,"외인,기관,프메,투신  670만주 들어왔네",890,3,2
2023.04.29 06:58,신용 1.57까지 떨어졌네,558,2,3
2023.04.29 03:29,다올은 차익결제cfd 안한다?,892,11,2
2023.04.29 00:15,"형아,차바도 데려가라",725,2,2
2023.04.28 22:38,세력놈 ..?,520,6,3
2023.04.28 22:31,금융감독원 개소리,345,5,2
2023.04.28 20:29,8선녀 사태 란다~~ㅋ~ 지랄들~~뭐 오른게 있다고~^^,499,5,1
2023.04.28 21:20,8선녀 사태 란다~~ㅋ~ 지랄들~~뭐 오른게 있다고~^^,280,0,5
2023.04.28 20:22,난 이거저거 모르겠고....,535,7,2
2023.04.28 18:49,"CFD 안해,  품절주 광고 해줘~~^^",363,5,1
2023.04.28 18:35,"다우데이타,서울가스에서 시간외 탈출",602,10,2
2023.04.29 07:28,선광 측 역시,116,0,0
2023.04.28 18:16,신용줄면,324,5,1
2023.04.28 18:01,다음주부터,719,14,4
2023.04.28 17:58,다올증권 작전,409,7,3
2023.04.28 17:57,다올 별명 정했습니다,352,2,1
2023.04.28 17:34,주린이 입성했습니다.,475,8,4
2023.04.28 17:21,신용이 못 들어 오니까..,334,0,1
2023.04.28 17:11,주가조작 불안심리,311,8,1
2023.04.28 17:06,어떤 아저씨가,312,4,1
2023.04.28 17:00,시외 흔들어~~~,302,1,1
2023.04.28 16:45,CFD 미거래 테마~~^^,309,5,1
2023.04.28 16:38,개꿀잼 핵불닭복음맛 불장이었다 오늘,169,0,0
2023.04.28 16:38,Chk2020,243,3,0
2023.04.28 16:27,폭락아이템중에 기관이 200만주 산건 이녀석 뿐이네?,597,9,2
2023.04.28 16:25,외인과 기관이 샀는데,454,7,2
2023.04.28 16:11,시외,443,2,7
2023.04.28 16:11,CFD 거래 안하는 증권사 대박이겠군~~^^,344,5,1
2023.04.28 16:04,감자,490,1,3
2023.04.28 16:01,축,272,3,1
2023.04.28 15:53,CFD 서비스 제공 13개 증권사,455,3,0
2023.04.28 15:51,악재 해소되었는데,267,4,1
2023.04.28 15:49,일단 메이저들의 수급 덕분에 N자 반등이 나왔지만,289,8,0
2023.04.28 15:45,아 이놈이 한국기술개발투자였어,294,2,0
2023.04.28 15:44,오늘 개인들만 조끄치 물량 털렷네ㅋㅋㅋ,144,0,0
2023.04.28 15:43,매동 지린다,217,3,1
2023.04.28 15:42,기관 도랐냐 고객돈으로 200만주 샀네,241,1,1
2023.04.28 15:40,귀구녕이 달토록 충고혀부러도 구심점없이 물량들 버려부럿구먼 ,221,1,1
2023.04.28 15:39,기관 200만주 매수 뭐냐???,367,4,0
2023.04.28 15:38,수급도랐다.. 하따 테마 다른건 다 개미매수인데,246,6,0
2023.04.28 15:28,아침,209,2,0
2023.04.28 15:24,하루죙일 삼천리 봤다가 다올 봤다가 삼천리 봤다가,303,1,0
2023.04.28 15:22,에헤이 조졌네 이거,219,2,1
2023.04.28 15:20,다음 주 기대됨,250,5,0
2023.04.28 15:14,세력들 신용매수가 5.5천원이라카네,412,4,1
2023.04.28 15:13,오늘은 주머니가 두둑한 날이니,115,0,0
2023.04.28 15:00,단타로 650만원 벌어서 20분만에,380,2,2
2023.04.28 14:58,텃다 텄어 오늘보여준게 다여,217,1,2
2023.04.28 14:54,프매수 미친,338,2,0
2023.04.28 14:50,내가 아까 설것이 차트,319,3,2
2023.04.28 14:37,프매아가리에 다털어주냐,226,3,1
2023.04.28 14:33,똥값이다 막줏어?어,307,2,1
2023.04.28 14:14,5000원이 시작가 액면가  ㅠ,299,2,1
2023.04.28 14:13,월욜,151,0,2
2023.04.28 14:10,4천 5백원 다음주 올까요?,270,3,1
2023.04.28 14:09,던저라,231,1,1
2023.04.28 13:57,삼천리는 재미있네...삼천% 가겠다...내용 무,151,0,1
2023.04.28 13:47,주가조잡범,254,4,1
2023.04.28 13:44,잘 먹고 갑니다,223,1,4
2023.04.28 13:42,"SG, 임창정씨 감사합니다.",419,4,1
2023.04.28 13:38,조작 종목 중 다올이 가장 좋음,352,2,2
2023.04.28 13:33,신용비율 많이 떨어졌네요,364,9,1
2023.04.28 13:31,다올아 가자 지금 디커플링되면 혼자 독주다,282,5,1
2023.04.28 13:29,나는 돌덩이,228,2,2
2023.04.28 13:23,곧 밀어버린다~^^ 종가 파란색~^^,309,2,9
2023.04.28 13:23,하루 4천만원만 벌자,246,2,1
2023.04.28 13:20,이제 식사 하는가벼,98,0,1
2023.04.28 13:19,욕심 그만 부리고 튀라,98,0,3
2023.04.28 13:16,외국인마저,117,0,1
2023.04.28 13:14,3500원 위에서 매수한 사람들,318,2,3
2023.04.28 13:12,2550원 간다. 조심해라,227,1,2
2023.04.28 13:06,여기는 기다리면 수익날 수 밖에,249,1,0
2023.04.28 13:03,점심 밥 먹고 하자,90,0,0
2023.04.28 12:58,종가는 파란나라~미끄럼 전문~이랑께~^^,221,1,2
2023.04.28 12:56,흔들어도 흔들리지마라. 저평가다,287,5,0
2023.04.28 12:48,회복,267,2,1
2023.04.28 12:48,오후에 침한번더,114,0,0
2023.04.28 12:48,이것도 내 예언이 맞았네 ㅋㅋ,237,0,0
2023.04.28 12:47,달달하네 ㅋㅋ,270,1,2
2023.04.28 12:43,설거지~~~타임~~^^,278,0,2
2023.04.28 12:41,아직 안넘어 왔나,114,0,1
2023.04.28 12:30,설것이 패턴,381,1,2
2023.04.28 12:30,적당히 다들 본전이면,383,1,1
2023.04.28 12:28,잘 가다가 그러냐~ ,101,0,1
2023.04.28 12:27,상한가 한번은,317,1,1
2023.04.28 12:22,간다고햇자나 이놈들아ㅎㅎ 더갈거여,94,0,1
2023.04.28 12:21,꺼ㅓㅓㅓㅓㅓㅓㅓㅓㅓ억 개꿀맛이다,305,4,2
2023.04.28 12:20,돔황챠~,76,0,1
2023.04.28 12:17,한번 성공했는데 으째,98,0,1
2023.04.28 12:09,눌렸을 때 다시 잡아야지,271,2,2
2023.04.28 12:06,CFD 계좌,135,0,2
2023.04.28 12:01,오늘 아주 좋았어 ,102,0,2
2023.04.28 11:58,와 nh투자증권 들어오는거 봐라~,327,1,1
2023.04.28 11:58,수직낙하 ~~~~~~~~~~~~~~~~~~~~~~~,263,1,2
2023.04.28 11:57,아 왜!? 그냥 상가자~!,282,3,1
2023.04.28 11:54,희한하네 내가,165,0,1
2023.04.28 11:54,내말믿어준형들 고생했음 ,102,0,1
2023.04.28 11:53,3일투자해서 상한가 먹었네,112,0,1
2023.04.28 11:53,휴 털릴뻔했다,83,0,1
2023.04.28 11:52,부대장 다올아 가즈아~!,184,1,1
2023.04.28 11:49,신용2% 거래량만 터지자,190,1,1
2023.04.28 11:47,"***********  어제 2,990원  줍, 줍,",269,4,0
2023.04.28 11:46,증권사 면허 가격이 2천억 아니냐?,226,2,0
2023.04.28 11:37,매도 물량 올인 난듯,229,1,0
2023.04.28 11:37,상한가 가려나?,189,1,0
2023.04.28 11:37,신용다털어먹고 10연상갈려고,206,4,0
2023.04.28 11:36,못먹어도 고지,257,2,1
2023.04.28 11:30,ㅋㅋㅋ싸네 ,100,0,1
2023.04.28 11:29,다올이나 삼천리나 갓 들어온 우리나 수익이지,267,2,1
2023.04.28 11:28,탓다ㅠ방금,106,0,0
2023.04.28 11:27,Vi 후 오르나 하방이가 뭐고,279,0,1
2023.04.28 11:26,여엉차~! 여엉차~!,190,1,0
2023.04.28 11:21,적정가,233,4,0
2023.04.28 11:21,상가나?,195,2,0
2023.04.28 11:18,VI발동 가자!,239,2,0
2023.04.28 11:11,상한가,203,4,0
2023.04.28 11:07,오늘은 삼천리가 좋은 모습 보여주고 있다,81,0,0
2023.04.28 10:57,주가조작단,229,1,0
2023.04.28 10:50,이제 마지막 정상화 단계,248,1,0
2023.04.28 10:47,오전 단타 대회 끝났나?,113,0,0
2023.04.28 10:40,신용 다 털리면 뭐다?,276,3,0
2023.04.28 10:33,1분기 실적?,273,2,0
2023.04.28 10:28,cfd 사건 종목들 레알 핵불장이다,235,3,0
2023.04.28 10:28,자전거에 날개 달았나 날라가네,96,0,0
2023.04.28 10:25,신용상환 대체 뭔가요?,336,5,0
2023.04.28 10:23,선광 거의 1일만원까지,120,0,0
2023.04.28 10:23,들어가고싶어도,251,0,2
2023.04.28 10:20,단타는 신용 미수로 하나바,87,0,1
2023.04.28 10:17,단타는 단타네.. ,82,0,2
2023.04.28 10:13,이렇게 싸게살 기회안온다ㅋㅋㅋ,282,2,1
2023.04.28 10:11,.,77,0,1
2023.04.28 10:06,다른 다운주들은 힘이 좋은데,281,2,1
2023.04.28 10:02,오늘부터 매수 드간다,220,2,1
2023.04.28 09:43,뭔가 느낌적인 느낌이 좀 그래서,390,3,4
2023.04.28 09:43,신용2.73%,412,2,1
2023.04.28 09:37,미끄럼 전문~~^^,300,0,3
2023.04.28 09:28,두번째,161,0,3
2023.04.28 09:27,금일 종가예상,394,1,6
2023.04.28 09:23,반복적으로 먹고 나오기..,116,0,3
2023.04.28 09:22,이제 4천원까지는 무난하려나?,346,3,2
2023.04.28 09:22,찐바닥,100,0,1
2023.04.28 09:18,오늘 부터 대박이다(신용 잔고율 봐라ㅋㅋ),185,3,1
2023.04.29 13:20,대주주가 하락전 매도한 종목 - 다우데이타.선광.서울도시가스,21,0,0
2023.04.28 09:17,CFD계좌 주인들..,255,1,2
2023.04.28 09:17,ㅋㅋㅋㅋ,93,0,1
2023.04.28 09:15,외사냐,203,1,1
2023.04.28 09:04,오늘도,404,1,7
2023.04.28 08:59,와 신용빠진거 봐,315,2,1
2023.04.28 08:57,자본금이 3030억이다 ,162,0,2
2023.04.28 08:56,다른애들은 몇년 얘는 이제 준비하던 즉!,252,1,1
2023.04.28 08:55,신용다 털린거보니,287,3,1
2023.04.28 08:50,신용 나간게 호재라면 N자 반등나온다,309,1,1
2023.04.28 08:48,팔고 하림가,111,0,1
2023.04.28 08:47,키움회장 아난티회장,240,1,1
2023.04.28 08:46,하림은 6%이상  급등하고 시작이네,270,0,1
2023.04.28 08:44,신용 많이  빠졌네,202,1,1
2023.04.28 08:41,옆집 다우데이타는 회장 수사받고 거래정지 먹을까봐 난리던데,256,1,1
2023.04.28 08:40,안티 졸업한다,99,0,2
2023.04.28 08:34,어제 신용정리 오늘 단타 정리,221,1,1
2023.04.28 08:33,다올 하루사이에 신용잔고 14%->2%로 줄었네,146,0,0
2023.04.28 08:29,유진투자증권도 자본금이 시총보다 많다,296,1,1
2023.04.28 08:23,하한가 세력 라씨 잔챙이네,112,0,0
2023.04.28 08:22,시총이 지금 ㅈㄴ싼데.. 사실상 가치주아니냐,105,0,0
2023.04.28 08:19,자본금4천억  시총1800억 미쳤다,278,2,0
2023.04.28 08:16,얘들아 정신차려!!!!,231,1,1
2023.04.28 08:14,기분이 아주 좋아~~~~~,235,3,2
2023.04.28 08:12,신용 50% 까지 갈줄 알았드만~~ㅋㅋ~^^,115,0,1
2023.04.28 08:07,저평가 운운하면서 꼬시는데 ㅋ,305,2,2
2023.04.28 07:54,적정주가,267,3,1
2023.04.28 07:53,오늘,264,2,2
2023.04.28 07:31,휴마시스 4월 14일 신용잔고 변화 보고와라,502,1,3
2023.04.28 07:31,와 신용 10%를 3000원에 다 받아버렸네,144,0,0
2023.04.28 07:19,신용털기 ,257,1,0
