Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16700.000000,16950.000000,16550.000000,16800.000000,16545.455078,218658
2018-01-03,16700.000000,16800.000000,16500.000000,16750.000000,16496.212891,210082
2018-01-04,16650.000000,16700.000000,16350.000000,16350.000000,16102.273438,269871
2018-01-05,16350.000000,16650.000000,16350.000000,16650.000000,16397.726563,150041
2018-01-08,16650.000000,16800.000000,16400.000000,16600.000000,16348.485352,239485
2018-01-09,16550.000000,16600.000000,16200.000000,16200.000000,15954.545898,293553
2018-01-10,16250.000000,16500.000000,16200.000000,16500.000000,16250.000000,179833
2018-01-11,16450.000000,16950.000000,16300.000000,16950.000000,16693.181641,217862
2018-01-12,16950.000000,17300.000000,16700.000000,17250.000000,16988.636719,370280
2018-01-15,17200.000000,17300.000000,16900.000000,17100.000000,16840.910156,187206
2018-01-16,17300.000000,17550.000000,16950.000000,17050.000000,16791.666016,334877
2018-01-17,16950.000000,17400.000000,16700.000000,17400.000000,17136.363281,308977
2018-01-18,17400.000000,17700.000000,17200.000000,17400.000000,17136.363281,236735
2018-01-19,17350.000000,17550.000000,17250.000000,17500.000000,17234.849609,171327
2018-01-22,17700.000000,17700.000000,17350.000000,17400.000000,17136.363281,122318
2018-01-23,17400.000000,17550.000000,17300.000000,17450.000000,17185.605469,130589
2018-01-24,17550.000000,17850.000000,17350.000000,17750.000000,17481.060547,199166
2018-01-25,17750.000000,17800.000000,17500.000000,17800.000000,17530.302734,148836
2018-01-26,17650.000000,18000.000000,17550.000000,18000.000000,17727.273438,213281
2018-01-29,18000.000000,18000.000000,17550.000000,17650.000000,17382.576172,363737
2018-01-30,17600.000000,17650.000000,17100.000000,17400.000000,17136.363281,273443
2018-01-31,17150.000000,17300.000000,16750.000000,17150.000000,16890.152344,316201
2018-02-01,17000.000000,17300.000000,16850.000000,17000.000000,16742.423828,198464
2018-02-02,17050.000000,17150.000000,16600.000000,16800.000000,16545.455078,319447
2018-02-05,16700.000000,16750.000000,16400.000000,16450.000000,16200.757813,168007
2018-02-06,null,null,null,null,null,null
