Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,94000.000000,94400.000000,93700.000000,93700.000000,69846.898438,158
2018-01-03,93700.000000,94900.000000,93700.000000,93700.000000,69846.898438,169
2018-01-04,94700.000000,94700.000000,93700.000000,93700.000000,69846.898438,218
2018-01-05,93700.000000,93900.000000,92900.000000,93400.000000,69623.273438,458
2018-01-08,93400.000000,93700.000000,93200.000000,93400.000000,69623.273438,721
2018-01-09,93400.000000,93800.000000,93400.000000,93400.000000,69623.273438,134
2018-01-10,93400.000000,93400.000000,93000.000000,93300.000000,69548.734375,443
2018-01-11,93300.000000,93500.000000,93300.000000,93500.000000,69697.812500,216
2018-01-12,93000.000000,93600.000000,93000.000000,93400.000000,69623.273438,157
2018-01-15,93400.000000,95300.000000,92300.000000,92300.000000,68803.296875,272
2018-01-16,91700.000000,93000.000000,91700.000000,93000.000000,69325.093750,210
2018-01-17,93000.000000,93000.000000,92300.000000,92500.000000,68952.375000,1561
2018-01-18,92000.000000,93300.000000,92000.000000,92500.000000,68952.375000,309
2018-01-19,92500.000000,92500.000000,92000.000000,92100.000000,68654.203125,331
2018-01-22,92200.000000,92200.000000,91200.000000,91700.000000,68356.031250,483
2018-01-23,92200.000000,92200.000000,90400.000000,91400.000000,68132.406250,1043
2018-01-24,95900.000000,95900.000000,90800.000000,90900.000000,67759.687500,234
2018-01-25,94300.000000,94300.000000,91000.000000,91700.000000,68356.031250,591
2018-01-26,91200.000000,92800.000000,91200.000000,92600.000000,69026.921875,158
2018-01-29,92000.000000,92100.000000,91300.000000,91600.000000,68281.492188,617
2018-01-30,91600.000000,92200.000000,91500.000000,92200.000000,68728.757813,349
2018-01-31,92100.000000,92600.000000,92000.000000,92500.000000,68952.375000,370
2018-02-01,92500.000000,92600.000000,92200.000000,92300.000000,68803.296875,192
2018-02-02,92300.000000,92500.000000,92100.000000,92100.000000,68654.203125,206
2018-02-05,92100.000000,92200.000000,92000.000000,92000.000000,68579.656250,517
2018-02-06,92000.000000,93500.000000,91100.000000,92000.000000,68579.656250,1966
2018-02-07,92000.000000,93000.000000,91200.000000,91200.000000,67983.320313,342
2018-02-08,92500.000000,92500.000000,91400.000000,92100.000000,68654.203125,40
2018-02-09,92100.000000,93100.000000,90600.000000,92000.000000,68579.656250,517
2018-02-12,91400.000000,91400.000000,91100.000000,91100.000000,67908.781250,222
2018-02-13,91100.000000,91400.000000,90500.000000,91300.000000,68057.875000,500
2018-02-14,90400.000000,90600.000000,87000.000000,88000.000000,65597.953125,1599
2018-02-19,90100.000000,90100.000000,88500.000000,90100.000000,67163.343750,52
2018-02-20,90200.000000,90200.000000,88700.000000,89000.000000,66343.367188,306
2018-02-21,90400.000000,90400.000000,89000.000000,89000.000000,66343.367188,36
2018-02-22,89000.000000,89900.000000,88200.000000,88600.000000,66045.203125,129
2018-02-23,88900.000000,88900.000000,88500.000000,88900.000000,66268.835938,184
2018-02-26,89000.000000,89000.000000,88500.000000,88500.000000,65970.656250,250
2018-02-27,88500.000000,88800.000000,87400.000000,88800.000000,66194.289063,292
