날짜,제목,조회,공감,비공감
2023.05.01 21:29,대표께,149,11,1
2023.05.01 21:25,그리고 대주주가 매도한 종목들은,218,11,1
2023.05.01 21:24,찬티가 너무 많다.,96,2,6
2023.05.01 21:06,금융감독원 개소리,115,6,1
2023.05.01 20:42,타점만 잘잡아도,161,2,2
2023.05.01 20:36,선광 분석,153,1,1
2023.05.01 20:32,연속 4일 하한가가고,291,13,1
2023.05.01 20:26,내일 몰빵 드간다아 ,172,2,7
2023.05.01 20:15,이정도면 걱정 없네,337,10,1
2023.05.01 20:15,최소 20만원돌파는 할것같음,277,8,1
2023.05.01 20:07,"106,000목표가",196,8,1
2023.05.01 19:56,갑자기 왜이리설레발들,200,6,0
2023.05.01 19:33,선광,236,2,2
2023.05.01 19:19,주가추이보이,201,2,2
2023.05.01 19:16,엄청 많네,203,2,5
2023.05.01 19:00,선광  낼장  상 갈것 3가지 이유,666,24,2
2023.05.01 18:54,라xx선넘네 ㅅㅂ,440,0,7
2023.05.01 19:23,라xx선넘네 ㅅㅂ,94,3,0
2023.05.01 18:51,금욜 입성자입니다,379,8,1
2023.05.01 18:44,아직도 공매알바가 있네.,186,6,1
2023.05.01 18:32,옥석이 거려졌네,387,7,2
2023.05.01 18:42,옥석이 거려졌네,207,14,1
2023.05.01 18:16,금욜에 산 사람들이 진짜 승자고,499,18,2
2023.05.01 17:58,"삼천리하고 선광,세방 세종목 가지고 있는데",489,14,1
2023.05.01 17:56,내일은,301,6,0
2023.05.01 17:47,심정구전의원 지속 매도에도 상승,292,3,0
2023.05.01 17:34,"일단 대주주 매도한 서울가스,다우데이타,대성홀딩스는 검찰조사대상",557,9,1
2023.05.01 17:34,"내일,,  서울가스,대성홀딩스,다우데이타,",376,3,1
2023.05.01 17:27,ㅅㅂ 나라꼴이,264,8,2
2023.05.01 17:26,주가 무증해서 4배 튕기면  좋으련만?,350,9,1
2023.05.01 17:23,★공매도 세력도 개입이네.....,271,8,0
2023.05.01 17:19,안티들 말은 웃으며 넘겨,269,4,1
2023.05.01 17:16,고수님들의  생각이  궁금합니다.,322,6,0
2023.05.01 17:11,검찰압수수색 장중거래정지 뜬다,267,3,11
2023.05.01 16:57,SG사태 대주주가 매도한곳이 어딘가요?,516,3,2
2023.05.01 16:54,100억 공매 세력 이미 50억 먹고 숏커버 했겠지 ㅋ 안했으면 포기하고  한강가려나?,367,7,0
2023.05.01 16:44,다음주 시초갭상 찍는거아닌지모르겠다.,478,15,2
2023.05.01 16:54,다음주 시초갭상 찍는거아닌지모르겠다.,126,9,0
2023.05.01 16:24,내일 임창정관련주 순위를 봐보자,590,16,5
2023.05.01 16:14,리딩방 내일 추천종목10개중에..,584,16,1
2023.05.01 16:07,근데 얘는 공매가 왜이리많냐,345,1,6
2023.05.01 16:01,문이 열리네요~,300,3,0
2023.05.01 15:57,시초가에 살수있게 해주세요,336,10,1
2023.05.01 15:54,내일아침   사만  오천부터   시작,332,10,0
2023.05.01 15:54,어떻게 보시나요?,401,5,0
2023.05.01 15:53,내일 상한가 ,302,11,2
2023.05.01 15:52,간호법 반대하는 의사집단,242,6,1
2023.05.01 15:50,빚 청산,244,1,1
2023.05.01 15:41,결국,338,17,3
2023.05.01 15:32,공매 100억 수사는 빨리 되지 않을까? 이것들 50억 벌었다고 좋아했을꺼야 ㅋ,291,7,1
2023.05.01 15:14,화요일 시초에 입성하려고 합니다,444,14,1
2023.05.01 15:01,검찰 금감원 동시 압수수색은ㅡ거래정지,640,6,10
2023.05.01 14:30,낼 하한가 하따들 골로간다,524,7,14
2023.05.01 14:17,SG증권발 셀럽 주식,337,1,1
2023.05.01 14:15,이런주식도 있습니다.(금호타이어),375,2,1
2023.05.01 14:01,김건희랑 임창정 차이가 뭐꼬??,388,9,4
2023.05.01 13:37,금융감독원 개소리,384,5,0
2023.05.01 13:28,사기 작전 전 가격대비 아직도 고평가...??,429,2,7
2023.05.01 13:27,이기 나라가?,360,10,0
2023.05.01 13:21,4종목 예전 주가,557,4,4
2023.05.01 13:18,국회의원은 주택임대차보호법 제3조1항을 고쳐라.,259,1,0
2023.05.01 13:07,주린입니다,668,10,2
2023.05.01 12:44,쉽게 생각해,459,11,1
2023.05.01 12:35,이번주는 폭락 관련주에 수급이 상당히 몰릴 것입니다.,439,5,0
2023.05.01 12:30,쉽게회복은안될듯,389,1,2
2023.05.01 12:26,선광주주가 주가회복에,456,4,0
2023.05.01 12:26,지렁이도  밞으면  꿈틀 하는데,409,10,1
2023.05.01 12:20,깨꼴락지는 되지말자 (매수 주가를 결정하는 방법),361,2,3
2023.05.01 12:19,이번주는 폭락주,309,2,2
2023.05.01 12:08,16층 ,356,2,1
2023.05.01 12:05,선(Sun) 광(Lght),390,2,0
2023.05.01 12:02,검찰 조사..  .통장거래내역.핸드폰 통화내역 조사,423,7,1
2023.05.01 12:00,곧,338,2,5
2023.05.01 11:54,◆.선광(鮮光) : 고운 것이 빛나다,184,2,0
2023.05.01 11:50,주가 폭락전 100억 공매도친 세력 다우쪽이든 아니건 무기징역 때려라 제발,398,4,0
2023.05.01 11:44,뉴스보세요 ..희망 갖지말고요,428,3,4
2023.05.01 11:41,회사 유보율높다고 희망회로돌리는놈들봐라,410,5,2
2023.05.01 11:49,이런 호르세애끼봐라..누구한테,126,1,2
2023.05.01 11:18,내일 어떨까요?  또 하락? 다시 폭등?,497,2,2
2023.05.01 11:13,일단 35000근처까지 뺏다가,503,2,2
2023.05.01 11:06,만약에,379,2,0
2023.05.01 10:50,댓글 대부분이 작전주 사라고 유혹하네요!,524,9,9
2023.05.01 10:45,이제 ,366,2,0
2023.05.01 10:42,주서담아서 1년간 보유해보자.!!,362,4,1
2023.05.01 10:39,더도 안바람~,368,3,0
2023.05.01 10:35,7만초에 잡아서 8만 중반에 팔고,479,8,0
2023.05.01 10:21,고맙다 창정이형,410,6,2
2023.05.01 10:20,안티들이 멍청한 이유,399,10,2
2023.05.01 10:19,작전은 끝나지 않는다 ,365,5,0
2023.05.01 10:01,바겐세일 ,479,9,3
2023.05.01 09:51,9500매수 23000매도,286,1,4
2023.05.01 09:43,언론이 주가조작이라고 하락시킨 종목들,501,8,1
2023.05.01 09:40,해석,659,16,3
2023.05.01 09:38,하 8인방 지난주 거의 대부분 개인만 풀매수//그외 손 다털었는데..,460,3,2
2023.05.01 09:29,선광003100 ....이 종목은 높은 수익을 가져올 수 있는 최고의 투자 대상입니다.,418,2,0
2023.05.01 09:25,2만원 초반,493,5,2
2023.05.01 09:23,외국인 기관 ,421,5,4
2023.05.01 09:01,지시하라,438,4,6
2023.05.01 09:00,세력 입성 3연상,438,3,3
2023.05.01 08:54,대박과  쪽박의 차이?,442,4,1
2023.05.01 08:50,오늘,651,1,0
2023.05.01 08:55,오늘,168,1,0
2023.05.01 08:47,"■서울가스, 대성 삼천리 다우 선광 등 금융당국 압수수색■",583,7,3
2023.05.01 08:26,야수의 심장으로 매수,672,10,2
