Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,18600.000000,18800.000000,18450.000000,18550.000000,18499.787109,22838
2018-01-08,18600.000000,18650.000000,17950.000000,18200.000000,18150.734375,42081
2018-01-15,18100.000000,18400.000000,18000.000000,18300.000000,18250.464844,26076
2018-01-22,18300.000000,19000.000000,18100.000000,18900.000000,18848.839844,39712
2018-01-29,19400.000000,22700.000000,19400.000000,20550.000000,20494.373047,442657
2018-02-05,20050.000000,21050.000000,20050.000000,20050.000000,19995.726563,92011
2018-02-12,20300.000000,20500.000000,19350.000000,19700.000000,19646.673828,32041
2018-02-19,19850.000000,19900.000000,18800.000000,19400.000000,19347.486328,66943
2018-02-26,19500.000000,19650.000000,19150.000000,19150.000000,19098.164063,27832
2018-03-05,19000.000000,19950.000000,18700.000000,18900.000000,18848.839844,18916
2018-03-12,19000.000000,19200.000000,18500.000000,18750.000000,18699.246094,45286
2018-03-19,18750.000000,19050.000000,18250.000000,18300.000000,18250.464844,31335
2018-03-26,18550.000000,18800.000000,18200.000000,18700.000000,18649.380859,23494
2018-04-02,18700.000000,19450.000000,18700.000000,19350.000000,19297.621094,40874
2018-04-09,19300.000000,19600.000000,18800.000000,19350.000000,19297.621094,39380
2018-04-16,19400.000000,21300.000000,19050.000000,20950.000000,20893.291016,138662
2018-04-23,21300.000000,21300.000000,20200.000000,20300.000000,20245.050781,67873
2018-04-30,20300.000000,23500.000000,20300.000000,23000.000000,22937.742188,416717
2018-05-07,23000.000000,25700.000000,21250.000000,24900.000000,24832.597656,443420
2018-05-14,25200.000000,27400.000000,23350.000000,24500.000000,24433.681641,565952
2018-05-21,24500.000000,24500.000000,20500.000000,21300.000000,21242.343750,225556
2018-05-28,22750.000000,24800.000000,21200.000000,21700.000000,21641.259766,365205
2018-06-04,22000.000000,23800.000000,21400.000000,23200.000000,23137.201172,147925
2018-06-11,23200.000000,23500.000000,20700.000000,21300.000000,21242.343750,97301
2018-06-18,21500.000000,22650.000000,20000.000000,20450.000000,20394.644531,174344
2018-06-25,20200.000000,21000.000000,19000.000000,19900.000000,19846.132813,117392
2018-07-02,19700.000000,20350.000000,18900.000000,20000.000000,19945.861328,79131
2018-07-09,19700.000000,20350.000000,18500.000000,20000.000000,19945.861328,116340
2018-07-16,19800.000000,20250.000000,19200.000000,19700.000000,19646.673828,39570
2018-07-23,19700.000000,19700.000000,18900.000000,19600.000000,19546.945313,60855
2018-07-30,19600.000000,19950.000000,19600.000000,19900.000000,19846.132813,21484
2018-08-06,19950.000000,20350.000000,19450.000000,20100.000000,20045.591797,28522
2018-08-13,20300.000000,20300.000000,19000.000000,19400.000000,19347.486328,67917
2018-08-20,19400.000000,19850.000000,19350.000000,19650.000000,19596.810547,62344
2018-08-27,19650.000000,19950.000000,19150.000000,19900.000000,19846.132813,29344
2018-09-03,19750.000000,19950.000000,19100.000000,19150.000000,19098.164063,37154
2018-09-10,19400.000000,20150.000000,19150.000000,19400.000000,19347.486328,61837
2018-09-17,19550.000000,19600.000000,18950.000000,19100.000000,19048.298828,99171
2018-09-24,19250.000000,19450.000000,18900.000000,19250.000000,19197.892578,37605
2018-10-01,19350.000000,19350.000000,18300.000000,18700.000000,18649.380859,78128
2018-10-08,18450.000000,18850.000000,16800.000000,17000.000000,16953.982422,200008
2018-10-15,17100.000000,17700.000000,17000.000000,17550.000000,17502.494141,82939
2018-10-22,17750.000000,17800.000000,16500.000000,16500.000000,16455.335938,146576
2018-10-29,17000.000000,17500.000000,16000.000000,17250.000000,17203.306641,159801
2018-11-05,17600.000000,17750.000000,17050.000000,17450.000000,17402.765625,39470
2018-11-12,17400.000000,17950.000000,17050.000000,17350.000000,17303.035156,69670
2018-11-19,17400.000000,17800.000000,17250.000000,17500.000000,17452.628906,32855
