Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,12600.000000,12800.000000,12400.000000,12550.000000,11646.135742,53098
2018-01-08,12550.000000,12900.000000,12450.000000,12850.000000,11924.530273,67849
2018-01-15,12800.000000,13000.000000,12750.000000,12900.000000,11970.928711,66445
2018-01-22,12900.000000,13300.000000,12650.000000,13150.000000,12202.923828,118648
2018-01-29,13150.000000,13700.000000,13150.000000,13500.000000,12527.715820,86078
2018-02-05,13300.000000,13400.000000,12250.000000,12950.000000,12017.328125,91716
2018-02-12,12950.000000,13350.000000,12900.000000,13050.000000,12110.125977,50120
2018-02-19,13050.000000,14100.000000,12950.000000,13950.000000,12945.306641,198413
2018-02-26,14000.000000,14000.000000,13400.000000,13450.000000,12481.317383,71553
2018-03-05,13450.000000,13550.000000,12950.000000,13250.000000,12295.722656,70530
2018-03-12,13350.000000,13900.000000,13250.000000,13700.000000,12713.312500,87289
2018-03-19,13700.000000,13800.000000,13300.000000,13550.000000,12574.115234,43022
2018-03-26,13450.000000,13900.000000,13300.000000,13850.000000,12852.507813,45162
2018-04-02,13850.000000,14050.000000,13550.000000,13850.000000,12852.507813,34896
2018-04-09,13650.000000,13900.000000,13450.000000,13500.000000,12527.715820,24536
2018-04-16,13500.000000,13550.000000,12950.000000,13250.000000,12295.722656,98643
2018-04-23,13200.000000,13600.000000,12950.000000,13100.000000,12156.524414,171135
2018-04-30,13150.000000,13450.000000,13000.000000,13150.000000,12202.923828,141704
2018-05-07,13150.000000,13400.000000,12800.000000,13300.000000,12342.119141,143672
2018-05-14,13350.000000,14550.000000,13350.000000,14400.000000,13362.896484,492304
2018-05-21,14400.000000,14550.000000,13750.000000,13900.000000,12898.907227,145935
2018-05-28,14100.000000,14800.000000,13950.000000,14250.000000,13223.701172,190937
2018-06-04,14300.000000,14350.000000,13850.000000,13850.000000,12852.507813,76647
2018-06-11,14000.000000,14100.000000,13400.000000,13600.000000,12620.513672,92680
2018-06-18,13600.000000,13600.000000,12800.000000,12800.000000,11878.130859,92057
2018-06-25,12850.000000,13100.000000,12500.000000,12550.000000,11646.135742,78088
2018-07-02,12650.000000,12700.000000,12250.000000,12550.000000,11646.135742,47697
2018-07-09,12550.000000,12700.000000,12300.000000,12700.000000,11785.334961,37453
2018-07-16,12700.000000,12750.000000,12350.000000,12500.000000,11599.737305,33682
2018-07-23,12500.000000,12500.000000,12000.000000,12100.000000,11228.546875,39074
2018-07-30,12050.000000,12250.000000,11950.000000,12150.000000,11274.946289,70273
2018-08-06,12150.000000,12400.000000,12150.000000,12350.000000,11460.541016,43974
2018-08-13,12350.000000,12400.000000,12100.000000,12300.000000,11414.141602,34098
2018-08-20,12350.000000,13100.000000,12350.000000,13050.000000,12110.125977,72291
2018-08-27,13150.000000,13350.000000,12650.000000,13150.000000,12202.923828,34203
2018-09-03,13300.000000,13300.000000,12600.000000,12900.000000,11970.928711,36594
2018-09-10,12900.000000,13400.000000,12850.000000,13250.000000,12295.722656,143958
2018-09-17,13250.000000,13550.000000,13100.000000,13150.000000,12202.923828,100307
2018-09-24,13150.000000,13350.000000,13150.000000,13350.000000,12388.518555,9178
2018-10-01,13200.000000,13450.000000,12900.000000,13000.000000,12063.727539,40792
2018-10-08,13000.000000,13300.000000,11950.000000,12800.000000,11878.130859,69725
2018-10-15,12750.000000,12900.000000,12450.000000,12700.000000,11785.334961,26886
2018-10-22,12550.000000,12800.000000,11200.000000,11550.000000,10718.158203,47641
2018-10-29,11400.000000,12350.000000,10800.000000,11950.000000,11089.349609,73715
2018-11-05,11950.000000,12350.000000,11700.000000,11950.000000,11089.349609,84855
2018-11-12,11700.000000,12400.000000,11450.000000,12300.000000,11414.141602,53108
2018-11-19,12500.000000,12500.000000,12000.000000,12150.000000,11274.946289,29309
2018-11-26,12100.000000,13100.000000,12000.000000,12900.000000,11970.928711,46355
2018-12-03,12900.000000,12950.000000,12250.000000,12850.000000,11924.530273,40129
2018-12-10,12900.000000,13150.000000,12350.000000,13000.000000,12063.727539,82217
2018-12-17,12800.000000,13150.000000,12350.000000,12500.000000,11599.737305,28012
2018-12-24,12300.000000,12450.000000,11900.000000,12000.000000,11135.748047,69669
2018-12-31,12000.000000,12150.000000,11850.000000,12000.000000,11300.548828,28366
2019-01-07,12000.000000,12650.000000,11950.000000,12600.000000,11865.575195,38321
2019-01-14,12550.000000,12800.000000,12300.000000,12650.000000,11912.661133,41627
2019-01-21,12800.000000,12900.000000,12350.000000,12750.000000,12006.831055,20919
2019-01-28,12750.000000,12800.000000,12250.000000,12800.000000,12053.917969,55606
2019-02-04,12800.000000,13100.000000,12800.000000,13100.000000,12336.431641,116428
2019-02-11,13100.000000,13650.000000,12900.000000,13250.000000,12477.688477,126858
2019-02-18,13200.000000,13750.000000,13050.000000,13650.000000,12854.373047,100564
2019-02-25,13800.000000,14150.000000,13450.000000,13500.000000,12713.115234,67508
2019-03-04,13500.000000,13800.000000,13200.000000,13450.000000,12666.030273,95347
2019-03-11,13450.000000,14000.000000,13350.000000,13750.000000,12948.544922,57391
2019-03-18,13650.000000,14200.000000,13650.000000,13900.000000,13089.800781,55579
2019-03-25,13850.000000,13850.000000,13400.000000,13800.000000,12995.630859,47250
2019-04-01,14300.000000,14950.000000,14000.000000,14300.000000,13466.486328,196057
2019-04-08,14450.000000,15100.000000,13950.000000,14600.000000,13749.000000,160468
2019-04-15,14600.000000,15550.000000,14450.000000,15300.000000,14408.198242,226643
2019-04-22,15350.000000,15350.000000,13550.000000,14300.000000,13466.486328,184235
2019-04-29,14450.000000,14950.000000,14050.000000,14800.000000,13937.342773,66918
2019-05-06,14800.000000,14800.000000,14000.000000,14100.000000,13278.144531,97175
2019-05-13,13950.000000,14250.000000,13400.000000,13750.000000,12948.544922,128717
2019-05-20,13700.000000,13700.000000,13050.000000,13500.000000,12713.115234,93341
2019-05-27,13500.000000,13900.000000,13250.000000,13450.000000,12666.030273,80216
2019-06-03,13450.000000,14150.000000,13400.000000,13750.000000,12948.544922,37547
2019-06-10,14000.000000,14650.000000,13700.000000,14250.000000,13419.401367,134113
2019-06-17,14450.000000,14550.000000,14000.000000,14300.000000,13466.486328,59297
2019-06-24,14550.000000,14550.000000,13900.000000,14150.000000,13325.228516,78536
2019-07-01,14200.000000,14450.000000,13800.000000,14050.000000,13231.057617,33862
2019-07-08,13900.000000,14100.000000,13350.000000,13850.000000,13042.714844,66703
2019-07-15,13850.000000,13900.000000,12750.000000,13000.000000,12242.259766,54946
2019-07-22,13150.000000,13150.000000,12400.000000,12500.000000,11771.404297,107392
2019-07-29,12550.000000,12550.000000,11850.000000,12200.000000,11488.888672,45747
2019-08-05,12200.000000,12200.000000,10950.000000,11600.000000,10923.863281,75278
2019-08-12,11600.000000,11750.000000,11350.000000,11500.000000,10829.691406,14633
2019-08-19,11600.000000,12000.000000,11400.000000,11900.000000,11206.375977,30996
2019-08-26,11700.000000,12300.000000,11250.000000,12150.000000,11441.805664,44257
2019-09-02,12150.000000,12200.000000,11700.000000,12100.000000,11394.719727,63569
2019-09-09,12250.000000,12300.000000,12000.000000,12200.000000,11488.888672,25210
2019-09-16,12200.000000,12550.000000,12150.000000,12350.000000,11630.146484,46299
2019-09-23,12200.000000,12350.000000,11700.000000,12000.000000,11300.548828,67242
2019-09-30,12000.000000,12050.000000,11700.000000,11700.000000,11018.033203,35774
2019-10-07,11850.000000,11850.000000,11450.000000,11600.000000,10923.863281,43402
2019-10-14,11600.000000,12000.000000,11550.000000,11700.000000,11018.033203,29218
2019-10-21,11700.000000,11800.000000,11250.000000,11350.000000,10688.434570,41946
2019-10-28,11350.000000,11400.000000,11150.000000,11350.000000,10688.434570,44270
2019-11-04,11450.000000,11600.000000,11250.000000,11500.000000,10829.691406,57264
2019-11-11,11350.000000,11650.000000,11200.000000,11500.000000,10829.691406,60409
2019-11-18,11550.000000,11950.000000,11300.000000,11450.000000,10782.606445,71227
2019-11-25,11450.000000,11750.000000,11350.000000,11500.000000,10829.691406,102825
2019-12-02,11650.000000,11700.000000,11200.000000,11250.000000,10594.263672,46551
